დილა მივიდობისა, ზურაბ! რა ცუდი ამინდია!	dila m¡vidob-isa, zura(b)! ra cud-i amind-i-a!<br />Good movning, Zurab! What bad weather it is!
თამარისაგან პასუხს რომ მივიღებდა, თამარის ძმასთან ერთად თეატრში წავედოდი.	Were I to receive an answer from Tamar, I would go to the theatre with Tamar's brother.
— რომელი საათია?<br />— ოთხი საათია.	— What time is it?<br />— It's four o'clock.
— რომელი საათია?<br />— შვიდი საათია.	— What time is it?<br />— It's seven o'clock.
— რომელი საათია?<br />— ცხრა საათია.	— What time is it?<br />— It's nine o'clock.
სამი მარტი	the third of March
ოთხი აპრილი	the fourth of April
ხუთი მაისი	the fifth of May
პირველი იანვარი	the first of January
პირველი ივნისი	the first of June
დღეს ორი ივლისია.	Today is the 2nd of July.
ხვალ ათი აგვისტოა.	Tomorrow is the tenth of August.
შეხვედრა ქუჩაში	meeting in the street
თამაზ შონია ქართველი სტუდენტია, ქევინ მილერი ამერიკელი.	Tamazi Shonia is a Georgian student, Kevin Miller is American.
თამაზი და ქევინი ხვდებიან ერთმანეთს ქუჩაში.	Tamazi and Kevin meet each other in the street.
თამაზი: გამარჯობათ.  თქვენ აქ ცხოვრობთ?<br />ქევინი: დიახ, აქ ბინას ვქირაობ.	Tamazi: Hello. Do you live here?<br />Kevin: Yes, I am renting an apartment here.
მეც აქ ახლო ვცხოვრობ.	I also live near here.
ჩემი სახელია თამაზი. თქვენი?	My name is Tamazi. Yours?
ჩემი სახელია ქევინი.	My name is Kevin.
თამაზი: თქვენ ამერიკელი ხართ თუ ინგლისელი?<br />ქევინი: ამერიკელი. თქვენ ქართველი?<br />თამაზი: დიახ, ქართველი.	Tamazi: Are you American or British?<br />Kevin: American. You (are) Georgian?<br />Tamazi: Yes, Georgian.
თამაზი: რა კარგად ლაპარაკობთ ქართულად!<br />ქევინი: გმადლობთ.	Tamazi: How well you speak Georgian!<br />Kevin: Thank you.
თამაზი: დიდი ხანია თბილისში ცხოვრობთ?<br />ქევინი: უკვე სამი თვეა.	Tamazi: Have you been living for long in Tbilisi?<br />Kevin: It's already been three months.
თამაზი: აქ სწავლობთ თუ მუშაობთ?<br />ქევინი: ვსწავლობ და ვმუშაობ. ინგლისურს ვასწავლი სკოლაში.	Tamazi: Are you working or studying here?<br />Kevin: I am studying and working, teaching English in a school.
ქევინი: ინგლისურს ვასწავლი სკოლაში.<br />თამაზი: მართლა? რა საინტერესოა!	Kevin: I'm teaching English in a school.<br />Tamazi: Really? How interesting!
ქევინი: თქვენ მუშაობთ თუ სტუდენტი ხართ?<br />თამაზი: სტუდენტი ვარ.	Kevin: Do you work or are you a student?<br />Tamazi: I'm a student.
ქევინი: თქვენ ლაპარაკობთ ინგლისურად?<br />თამაზი: ვლაპარაკობ, მაგრამ ცუდად.	Kevin: Do you speak English?<br />Tamazi: I speak it, but poorly.
ძალიან სასიამოვნოა თქვენი გაცნობა.	Very nice to meet you.
მეც მოხარული ვარ, რომ გაგიცანით.	I'm also glad to have met you.
ნახვამდის.  კარგად იყავით.	Good bye.  Take care.
თამაზი და ქევინი უკვე კარგი მეგობრები არიან.	Tamazi and Keven are already good friends.
ქევინი თამაზის ბანაში რეკავს.	Kevin calls Tamazi's apartment.
ბოდიში, თამაზი სახლშია?	Excuse me, is Tamazi at home?
თომასი? სხვაგან მოხვდით.	Thomasi? (you have) a wrong number.
ქევინი: ეს შონიას ბინაა?<br />ლალი: დიახ, შონიას ბინაა.	Kevin: Is this the Shonia residence?<br />Lali: Yes, it is the Shonia residence.
ქევინი: თამაზი სახლშია?<br />ლალი: ვინ კითხულობს?	Kevin: Is Tamazi at home?<br />Lali: Who is asking?
ქევინი: მე მისი (თამაზის) მეგობარი ვარ, ქევინი.<br />ლალი: აა, ძალიან სასიამოვნოა. მე ლალი ვარ, თამაზის და.	Kevin: I am his (Tamazi's) friend, Kevin.<br />Lali: Aa, how nice! Iam Lali, Tamazi's sister.
ახლავე დავუძახებ.	I'll call (him) right away.
თამაზი: ქევინ, გამარჯობა. როგორა ხარ?<br />ქევინი: კარგად. შენ?<br />თამაზი: მეც კარგად.	Tamazi: Kevin, hello! How are you?<br />Kevin: I'm fine. And you?<br />Tamazi: I'm good too.
რაშია საქმე?	What's up? (what's the matter? what's going on?)
ქევინი: ეხლა რას აკეთებ? დაკავებული ხარ?<br />თამაზი: არა.	Kevin: What are you doing now? Are you busy?<br />Tamzi: No.
ახალ ამბებს ვუყურებ ტელევიზორში.	I'm watching the news on the television.
ქევინი: მოდი, კინოში წავიდეთ.<br />თამაზი: ძალიან კარგი.	Kevin: Let's go to a movie (theater).<br />Tamazi: Very good.
თამაზი: &quot;რუსთაველში&quot; წავიდეთ.<br />ქევინი: იქ რა გადის?	Tamazi: Let's go to <span style="font-style:italic;">Rustaveli</span>.<br />Kevin: What are they showing there?
ქევინი: იქ რა გადის?<br />თამაზი: ძველი ქართული ფილმი, &quot;დათა თუთაშხია.&quot;	Kevin: What are they showing there?<br />Tamazi: An old Georgian movie, <span style="font-style:italic;">Data Tutashxia.</span>
ქევინი: რაზეა ეს ფილმი?<br />თამაზი: ქართველ რობინ ჰუდზე.	Kevin: What's this movie about?<br />Tamazi: About a Georgian Robin Hood.
ქევინი: მართლა? ძალიან კარგი. წავიდეთ<br />თამაზი: ერთ საათში მზად იქავი.<br />ქევინი: მზად ვიქნები.	Kevin: Really? Very well, let's go.<br />Tamazi: Be ready in an hour.<br />Kevin: I'll be ready.
ქევინი თამაზისთან მიდის სტუმრად.	Kevin goes for a visit to Tamazi's.
ქევინი: გამარჯობა, თამაზ! შეიძლება?<br />თამაზი: ქევინ! შემოდი.	Kevin: Hello, Tamaz! May I (come in)?<br />Tamazi: Kevin! Come in.
თამაზი: აი, ეს ჩემი დაა, ლალი.	Tamazi: This is my sister, Lali.
ქევინი: ჩვენ უკვე ვიცნობთ ერთმანეთს, მაგრამ მხოლოდ ტელეფონით.<br />ლალი: დიახ, ვიცნობთ.	Kevin: We've already met eachother, but only on the phone.<br />Lali: Yes, we've met.
ქევინი: რა დიდი და ლამაზი ბინაა!<br />ლალი: დიახ, საკმაოდ დიდია.	Kevin: What a large and beautiful apartment.<br />Lali: Yes, it is rather large.
ლალი: ეს სასტუმრო ოთახია, ეს ჩემი მშობლების საწოლი ოთახი.	Lali: This is the guestroom, this is my parents' bedroom.
ლალი: ეს თამაზის ოთახია, ეს კი ჩემი.	Lali: This is Tamazi's room, and this is mine.
ლალი: იქ სასადილო და სამზარეულოა. ეს საპირფარეშო და აბაზანა.	Lali: There is the kitchen and dining room. There is a toilet and a bathroom.
თამაზი: ქევინ, რას დალევ, ჩაის თუ ყავას?<br />ქევინი: ყავას სიამოვნებით დავლევ.	Tamazi: Kevin, what would you like to drink, tea or coffee?<br />Kevin: I would be glad to have some coffee.
ლალი: როგორი ყავა გიყვართ, მაგარი თუ სუსტი?<br />ქევინი: საშუალო.	Lali: How do you like your coffee, strong or weak?<br />Kevin: Medium.
ლალი: რძით?<br />ქევინი: დიახ, თუ შეიძლება.	Lali: With milk?<br />Kevin: Yes please. (if I can).
ლალი: შაქრით?<br />ქევინი: არა, უშაქროდ.	Lali: With sugar?<br />Kevin: No, without sugar.
თამაზი: აი, გასინჯე. ეს ლალის ხაჭაპურია.<br />ქევინი: რა გემრიელია!	Tamazi: Here, try this. It's Lali's xach'ap'uri.<br />Kevin: How delicious!
ქევინი: ეს მართლა თქვენ გააკეთეთ?<br />ლალი: რასა კვირველია მე გავაკეთე.	Kevin: Did you really make this?<br />Lali: Of course I made it.
ლალი: სხვათა შორის, ქევინ, მოდი, შენობით ვილაპარაკოთ. ჩვენ უკვე მეგობრები ვართ, არა?<br />ქევინი: ნამდვილად ვართ, ლალი.	Lali: By the way, Kevin, let's use the informal you. We're already friends, aren't we?<br />Kevin: Indeed we are, Lali.
ქევინი: შენი ხაჭაპური ძალიან გემრიელია.<br />ლალი: თუ გემრიელია, კიდევ გადაიღე.<br />ქევინი: სიამოვნებით გადავიღებ.	Kevin: Your (inf) xach'ap'uri is very delicious.<br />Lali: If it's delicious, have (some) more.<br />Kevin: I'll have more with great pleasure.
